Day_Of_Week,Dep_Delay,Arr_Delay,Flight_Duration,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Aicraft_age,LATITUDE,LONGITUDE,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Month,Day,Airline,Tail_Number,Dep_Airport,DepTime_label,Arr_Airport,Distance_type,Manufacturer,Model,Dep_Delay_Tag
6,33,16,176,6,0,0,0,10,2,40.6925,-74.16866,24.8,20.8,29.7,0.8,0.0,16.0,6.7,1014.3,8,5,United Air Lines Inc.,N27271,EWR,Evening,MIA,Short Haul >1500Mi,BOEING,737 NG,1
1,-3,-11,107,0,0,0,0,0,10,33.64044,-84.42694,15.0,6.1,23.3,0.0,0.0,275.0,6.3,1013.4,10,9,Endeavor Air,N336PQ,ATL,Morning,XNA,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
2,-2,6,75,0,0,0,0,0,5,33.67975,-78.92833,20.5,16.1,25.6,0.0,0.0,225.0,14.3,1013.2,10,10,PSA Airlines,N611NN,MYR,Evening,CLT,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
5,-11,0,119,0,0,0,0,0,18,39.85841,-104.667,18.8,11.1,28.9,1.5,0.0,138.0,9.4,1019.8,7,21,United Air Lines Inc.,N891UA,DEN,Morning,ELP,Short Haul >1500Mi,AIRBUS,A319,0
2,-3,-9,54,0,0,0,0,0,9,31.0649,-97.8278,32.2,24.0,39.6,0.0,0.0,156.0,16.0,1010.1,6,27,American Eagle Airlines Inc.,N218NN,GRK,Night,DFW,Short Haul >1500Mi,EMBRAER,170/175,0
2,-14,-18,245,0,0,0,0,0,29,43.11119,-76.10631,12.8,2.2,15.6,0.5,0.0,260.0,24.8,1007.9,11,7,United Air Lines Inc.,N431UA,SYR,Morning,DEN,Short Haul >1500Mi,AIRBUS,A320,0
5,2,-6,237,0,0,0,0,0,1,33.94254,-118.40807,18.1,11.1,26.7,0.0,0.0,13.0,9.7,1019.3,12,15,Southwest Airlines Co.,N8846Q,LAX,Night,MDW,Medium Haul <3000Mi,BOEING,737 NG,1
5,3,0,57,0,0,0,0,0,21,36.08036,-115.15233,9.2,4.4,15.0,0.0,0.0,233.0,6.5,1022.9,1,6,Southwest Airlines Co.,N448WN,LAS,Afternoon,PSP,Short Haul >1500Mi,BOEING,737 NG,1
1,-18,-15,255,0,0,0,0,0,26,18.33731,-64.97336,25.2,23.3,28.3,0.0,0.0,72.0,17.6,1017.8,2,20,United Air Lines Inc.,N15712,STT,Afternoon,IAD,Medium Haul <3000Mi,BOEING,737 NG,0
2,2,-7,86,0,0,0,0,0,19,29.64542,-95.27889,13.3,8.3,17.8,0.0,0.0,80.0,17.4,1024.7,12,19,Southwest Airlines Co.,N217JC,HOU,Afternoon,VPS,Short Haul >1500Mi,BOEING,737 NG,1
